id,date,lat,lon,taxon,common_name,user
306018477,2025-08-12,37.0640452032,-121.4470796335,Apis mellifera,Western Honey Bee,edwardrooks
305952350,2025-08-11,38.2705067845,-121.8302315006,Halictus ligatus,Ligated Furrow Bee,dylapodiformes
305914180,2025-08-12,36.9266830489,-122.0530535803,Apis mellifera,Western Honey Bee,nthorngate
305911653,2025-08-12,37.86887,-122.2565,Apis mellifera,Western Honey Bee,minisculerock
305905673,2025-08-12,37.2025150228,-121.9177394723,Apis mellifera,Western Honey Bee,joescience1
305900250,2025-08-12,37.2250055556,-121.8968277778,Apis mellifera,Western Honey Bee,zanita28
305897543,2025-08-12,38.19267,-122.2547083333,Apis mellifera,Western Honey Bee,silveradojim
305896902,2025-08-12,37.92055,-122.50038,Apis mellifera,Western Honey Bee,silveradojim
305888020,2025-08-12,37.7677096,-122.4693109,Apis mellifera,Western Honey Bee,tracyk2
305878056,2025-08-12,37.921395,-122.5005416667,Apis mellifera,Western Honey Bee,silveradojim
305875632,2025-08-12,37.920975,-122.499795,Apis mellifera,Western Honey Bee,silveradojim
305875285,2025-08-12,37.5687249188,-121.6841220483,Apis mellifera,Western Honey Bee,mlboedigh
305852481,2024-10-20,38.5836247799,-122.3471843032,Apis mellifera,Western Honey Bee,katscratchfever
305849001,2025-08-12,37.9978966667,-122.0881278333,Agapostemon subtilior,Fine striped sweat bee,ecodanielle
305847539,2025-08-09,36.9781583381,-122.0090530355,Apis mellifera,Western Honey Bee,barbarab
305829528,2025-08-12,37.409568469,-122.0258037095,Anthidium manicatum,European Woolcarder Bee,muddphoto
305828096,2025-08-12,37.7610646369,-121.9451348882,Apis mellifera,Western Honey Bee,robyninthewild
305822197,2025-08-12,37.53173,-122.2416216667,Apis mellifera,Western Honey Bee,ahaislip
305813685,2025-08-06,37.1711416667,-122.2226783333,Apis mellifera,Western Honey Bee,zoeg
305706754,2025-08-10,38.5435916667,-121.7514283333,Xylocopa californica,Western Carpenter Bee,bugs_n_blooms
305694013,2025-08-11,37.7321516616,-121.791532636,Apis mellifera,Western Honey Bee,jayjt
305681357,2025-07-13,38.2921366667,-122.4520333333,Apis mellifera,Western Honey Bee,jzupan
305648481,2025-08-11,38.25173,-121.9826883333,Apis mellifera,Western Honey Bee,silveradojim
305648097,2025-08-11,38.2516533333,-121.9827033333,Apis mellifera,Western Honey Bee,silveradojim
305631855,2025-08-11,37.5490198,-121.9629527,Apis mellifera,Western Honey Bee,tracyk2
305609773,2025-08-10,38.3265216667,-122.284805,Apis mellifera,Western Honey Bee,brucewbailey
305584593,2025-08-11,38.3987216667,-121.937875,Apis mellifera,Western Honey Bee,silveradojim
305462910,2025-08-10,37.7206666399,-122.4955459312,Apis mellifera,Western Honey Bee,ruthmartinez2
305404934,2025-08-10,37.8064416667,-122.4309833333,Apis mellifera,Western Honey Bee,jared_lincenberg
305378139,2025-08-10,38.2130166667,-122.1253195,Apis mellifera,Western Honey Bee,silveradojim
305376823,2025-08-10,38.2127033333,-122.1243833333,Apis mellifera,Western Honey Bee,silveradojim
305376000,2025-08-10,38.251675,-121.9826366667,Apis mellifera,Western Honey Bee,silveradojim
305359978,2025-08-09,37.8615616667,-122.2548133333,Anthidium manicatum,European Woolcarder Bee,brenzan
305345899,2025-08-10,38.4389644018,-121.4938767046,Apis mellifera,Western Honey Bee,mjg42x
305345019,2025-08-10,37.9384709722,-122.0678259722,Apis mellifera,Western Honey Bee,phig
305260301,2025-08-10,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
305230550,2025-08-08,37.2291571623,-122.1140913527,Apis mellifera,Western Honey Bee,edwardrooks
305216015,2025-08-08,37.2267310356,-122.1097139599,Apis mellifera,Western Honey Bee,edwardrooks
305143313,2025-08-09,37.0928833333,-122.1264945,Apis mellifera,Western Honey Bee,damontighe
305134782,2025-08-09,37.7701833333,-122.46498,Agapostemon subtilior,Fine striped sweat bee,hannah_88
305126220,2025-08-09,37.7513646273,-122.4269877936,Apis mellifera,Western Honey Bee,hammel_tsui
305108382,2025-08-09,36.9644166667,-122.00964445,Bombus vosnesenskii,Yellow-faced Bumble Bee,wyattherp
305091058,2025-08-09,37.9719079308,-122.2423156782,Apis mellifera,Western Honey Bee,ouzel
305076463,2025-08-09,37.23348119,-121.99998456,Apis mellifera,Western Honey Bee,joemdo
305071255,2025-08-09,38.2516283333,-121.9826883333,Apis mellifera,Western Honey Bee,silveradojim
305044408,2025-08-09,37.7462305556,-122.2553416667,Coelioxys rufitarsis,Red-footed Cuckoo Leafcutter,boo-bee
304939639,2025-08-08,37.4326969327,-122.0951855238,Agapostemon subtilior,Fine striped sweat bee,nancyasquith
304913143,2025-08-08,37.9086333997,-122.2641557,Apis mellifera,Western Honey Bee,hwiju
304898812,2023-07-24,37.3395183965,-121.9572144627,Megachile rotundata,Alfalfa Leafcutter Bee,usernameforinaturalist
304898799,2025-04-30,37.3694097218,-121.8583702119,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,usernameforinaturalist
304876798,2025-08-08,37.7664533333,-121.9629966667,Apis mellifera,Western Honey Bee,irinamitine
304842247,2025-08-08,38.2516366667,-121.9826966667,Apis mellifera,Western Honey Bee,silveradojim
304837203,2025-08-08,37.5741393258,-122.3482031375,Apis mellifera,Western Honey Bee,jagut95
304823997,2025-08-08,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
304823992,2025-08-08,38.578009045,-121.4588384923,Xylocopa sonorina,Valley Carpenter Bee,rmyoshihara
304769356,2025-06-23,37.9233314,-122.0676143997,Apis mellifera,Western Honey Bee,tyno
304749927,2025-08-08,37.7926932997,-122.194973777,Apis mellifera,Western Honey Bee,beanoftheforest
304746442,2025-08-07,38.5178716667,-121.7623966667,Apis mellifera,Western Honey Bee,pepperjackb
304645770,2025-08-04,38.0396499,-122.7997964,Apis mellifera,Western Honey Bee,nancyfox
304639325,2025-06-06,37.8624537,-121.9303814997,Apis mellifera,Western Honey Bee,tyno
304638917,2025-08-07,37.8964661561,-122.5903157517,Apis mellifera,Western Honey Bee,neilcnn
304638152,2025-08-07,38.578009045,-121.4588384923,Xylocopa sonorina,Valley Carpenter Bee,rmyoshihara
304620273,2025-07-31,37.4577446,-122.1065382,Megachile apicalis,,steve760
304604948,2025-08-03,37.4058978502,-122.1720302132,Apis mellifera,Western Honey Bee,sglider
304602141,2025-08-07,38.2433383333,-122.6259166667,Apis mellifera,Western Honey Bee,silveradojim
304601468,2025-08-07,38.2517383333,-121.9826583333,Apis mellifera,Western Honey Bee,silveradojim
304594797,2025-08-05,38.4776194444,-122.7399305556,Apis mellifera,Western Honey Bee,forest5
304581946,2025-08-07,37.7340716667,-122.452295,Apis mellifera,Western Honey Bee,dorothydesigns
304420689,2025-06-29,38.3302899265,-122.7075943351,Apis mellifera,Western Honey Bee,kinderteacher
304398534,2025-08-06,37.1895866667,-121.5505966667,Apis mellifera,Western Honey Bee,geodani
304377511,2025-08-06,36.9593716667,-122.0249016667,Apis mellifera,Western Honey Bee,muddphoto
304377510,2025-08-06,36.9604433333,-122.0250166667,Apis mellifera,Western Honey Bee,muddphoto
304360230,2025-08-06,38.067925,-122.2076033333,Apis mellifera,Western Honey Bee,silveradojim
304356884,2025-08-06,38.2516333333,-121.9825666667,Apis mellifera,Western Honey Bee,silveradojim
304335523,2025-08-05,37.7941313509,-122.4557497741,Agapostemon subtilior,Fine striped sweat bee,zaf2103
304322813,2025-08-06,37.9996032742,-122.235879149,Anthidium manicatum,European Woolcarder Bee,b1rb
304314173,2025-08-06,37.761475,-122.2311777778,Halictus tripartitus,Tripartite Sweat Bee,boo-bee
304276595,2025-08-06,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
304195321,2025-08-05,37.4272974206,-122.1241335473,Agapostemon subtilior,Fine striped sweat bee,truthseqr
304150651,2025-08-03,38.0151425,-122.5564308,Apis mellifera,Western Honey Bee,paulgbarnett
304145064,2025-08-05,38.578009045,-121.4588384923,Xylocopa sonorina,Valley Carpenter Bee,rmyoshihara
304143026,2025-08-05,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
304138261,2025-08-05,38.5632452,-121.63749649,Apis mellifera,Western Honey Bee,calvinblack
304128335,2025-08-05,37.7669137141,-122.466062107,Apis mellifera,Western Honey Bee,elleusea
304110509,2025-08-05,38.279145,-122.052375,Apis mellifera,Western Honey Bee,silveradojim
304109059,2025-08-05,37.9149033333,-122.2017283333,Apis mellifera,Western Honey Bee,birchtainer
304107080,2025-08-05,38.2517383333,-121.9827283333,Apis mellifera,Western Honey Bee,silveradojim
304046244,2025-08-05,37.8744166667,-122.26033,Apis mellifera,Western Honey Bee,explore_eos
304031152,2025-08-04,37.9111161826,-122.298434157,Nomada suavis,Suave Nomad Bee,buzzybumbler
303904380,2025-08-03,37.6233027778,-121.7461888889,Apis mellifera,Western Honey Bee,jayjt
303886815,2025-08-03,37.433822557,-122.0955866748,Apis mellifera,Western Honey Bee,nettiecat
303886813,2025-08-03,37.433822557,-122.0955866748,Apis mellifera,Western Honey Bee,nettiecat
303876925,2025-08-04,37.668975,-121.8530966667,Apis mellifera,Western Honey Bee,scion882
303855431,2025-08-04,38.1211861667,-122.2206116667,Apis mellifera,Western Honey Bee,silveradojim
303850001,2025-08-03,37.1965833333,-122.0057777778,Apis mellifera,Western Honey Bee,rick
303849736,2025-08-04,38.118275,-122.2095716667,Apis mellifera,Western Honey Bee,silveradojim
303849026,2025-08-04,38.2517133333,-121.9827033333,Apis mellifera,Western Honey Bee,silveradojim
303797821,2025-08-04,38.4240883333,-121.84202,Xylocopa sonorina,Valley Carpenter Bee,grimegardens
303776622,2025-08-04,38.578009045,-121.4588384923,Xylocopa sonorina,Valley Carpenter Bee,rmyoshihara
303767739,2025-08-01,37.7874376561,-122.4773772871,Bombus vosnesenskii,Yellow-faced Bumble Bee,mntstech94
303763655,2025-08-04,37.2305216667,-121.7983083333,Apis mellifera,Western Honey Bee,fexcad
303695573,2025-04-25,38.5426213274,-121.7559235459,Xylocopa sonorina,Valley Carpenter Bee,moosejuice16
303617013,2025-07-23,36.9840532997,-122.0604194,Apis mellifera,Western Honey Bee,yerbasanta
303590096,2025-08-03,36.96132,-122.0272361667,Apis mellifera,Western Honey Bee,vish0770
303574065,2025-08-03,37.32178805,-121.70290572,Apis mellifera,Western Honey Bee,truthseqr
303569988,2025-08-03,37.7628793189,-121.9461019305,Apis mellifera,Western Honey Bee,robyninthewild
303559789,2025-08-03,38.2517616667,-121.9826583333,Apis mellifera,Western Honey Bee,silveradojim
303549570,2025-08-03,37.6773383333,-121.747825,Apis mellifera,Western Honey Bee,mansell
303517812,2016-05-30,37.526388447,-122.2691450451,Apis mellifera,Western Honey Bee,y_liu_math
303504279,2025-08-03,37.8403033333,-122.2752616667,Apis mellifera,Western Honey Bee,oaktowngoo
303368675,2025-08-02,38.1583971667,-122.1238638333,Apis mellifera,Western Honey Bee,silveradojim
303352400,2025-07-27,37.7725036363,-122.4593129754,Agapostemon subtilior,Fine striped sweat bee,evn
303334173,2025-08-02,37.3433108442,-121.9039106376,Apis mellifera,Western Honey Bee,dr_zz
303331117,2025-08-02,37.478655,-122.4110033333,Apis mellifera,Western Honey Bee,kellyobear
303312123,2025-07-26,37.0898388333,-122.0906361667,Apis mellifera,Western Honey Bee,zelee
303287242,2025-07-24,36.9882283333,-122.0424055,Apis mellifera,Western Honey Bee,zelee
303275965,2025-08-02,37.6720283333,-122.4953616667,Bombus rufocinctus,Red-belted Bumble Bee,mice
303258363,2025-08-02,37.9720909761,-122.2426736836,Apis mellifera,Western Honey Bee,ouzel
303238935,2025-08-02,36.9524794702,-122.0570161461,Apis mellifera,Western Honey Bee,nyguy
303237363,2025-08-02,36.9828716667,-122.0419778333,Apis mellifera,Western Honey Bee,nina881
303231951,2025-07-29,38.2054405,-122.5210303,Apis mellifera,Western Honey Bee,juliesonoma
303231503,2025-08-02,37.7715111111,-122.4627722222,Apis mellifera,Western Honey Bee,ermik243
303189043,2025-08-02,38.2449533333,-122.593025,Apis mellifera,Western Honey Bee,tarah93295
303188540,2025-08-02,37.8029327393,-122.2140274048,Apis mellifera,Western Honey Bee,sepilipa
303146685,2025-08-01,38.3109262211,-122.2785274475,Bombus californicus,California Bumble Bee,dena-s
303051755,2025-07-28,37.04921338,-122.0293280601,Apis mellifera,Western Honey Bee,joemdo
303047199,2016-06-25,37.784425,-122.40172,Apis mellifera,Western Honey Bee,smcconnico
303041628,2025-07-28,37.04093542,-122.0496586599,Apis mellifera,Western Honey Bee,joemdo
303032932,2025-08-01,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
303029431,2025-08-01,38.003691801,-121.7142514927,Halictus ligatus,Ligated Furrow Bee,ammoph11
303024331,2025-07-15,37.5383766928,-121.9908653879,Apis mellifera,Western Honey Bee,paulkdavis
303016229,2025-08-01,38.2517083333,-121.9827116667,Apis mellifera,Western Honey Bee,silveradojim
303016082,2025-08-01,38.2516866667,-121.9825833333,Apis mellifera,Western Honey Bee,silveradojim
302993124,2025-08-01,37.7960136169,-122.4787112166,Bombus vosnesenskii,Yellow-faced Bumble Bee,farinosa
302991958,2025-08-01,38.0788528333,-122.5492383333,Apis mellifera,Western Honey Bee,silveradojim
302987484,2025-08-01,38.251675,-121.98272,Apis mellifera,Western Honey Bee,silveradojim
302965236,2025-08-01,37.8095383333,-122.1133583333,Bombus californicus,California Bumble Bee,moraga4monarchs
302925241,2025-08-01,38.5474000461,-121.7793037117,Xenoglossa pruinosa,Pruinose Squash Bee,jandsluckenbill
302920821,2025-07-31,37.4577446,-122.1065382,Apis mellifera,Western Honey Bee,steve760
302912694,2025-08-01,37.9021682739,-122.5647354126,Apis mellifera,Western Honey Bee,ilex
302891241,2025-08-01,37.2446888889,-121.9077805556,Apis mellifera,Western Honey Bee,adith8
302842186,2025-07-30,37.4688205709,-122.3097860523,Apis mellifera,Western Honey Bee,libbyok
302829010,2025-07-31,38.2516033333,-121.9825533333,Apis mellifera,Western Honey Bee,silveradojim
302800828,2025-07-31,37.2638694599,-121.8502346816,Apis mellifera,Western Honey Bee,columbidaeperson
302799878,2025-07-31,37.2633540207,-121.8516233079,Apis mellifera,Western Honey Bee,columbidaeperson
302798238,2025-07-31,37.2624790625,-121.8505224047,Apis mellifera,Western Honey Bee,columbidaeperson
302792923,2025-07-31,37.2323356235,-121.8691113367,Apis mellifera,Western Honey Bee,columbidaeperson
302780746,2025-07-31,37.9263069127,-122.0640535387,Apis mellifera,Western Honey Bee,moraga4monarchs
302758109,2025-07-31,37.814859863,-122.2354265945,Anthidium manicatum,European Woolcarder Bee,ohesin
302752334,2025-07-31,37.7401966667,-122.3764633333,Anthidium manicatum,European Woolcarder Bee,bassteeth
302746694,2025-07-31,37.3852932999,-122.0300976396,Apis mellifera,Western Honey Bee,kaszub
302746644,2025-07-31,37.3844275574,-122.0253683649,Apis mellifera,Western Honey Bee,kaszub
302743070,2025-07-31,37.9971946833,-122.4664916439,Apis mellifera,Western Honey Bee,adrianwang
302742768,2025-07-31,37.7621433333,-122.2256366667,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,hellabeenerd
302729774,2025-07-30,38.324781524,-122.3065473088,Apis mellifera,Western Honey Bee,jillian_a
302720813,2025-07-31,38.2519083333,-122.0448611667,Apis mellifera,Western Honey Bee,silveradojim
302716146,2025-07-31,38.2487866667,-122.0604638333,Apis mellifera,Western Honey Bee,silveradojim
302710505,2025-07-30,37.1448837637,-121.981461297,Apis mellifera,Western Honey Bee,greenthumb3
302704941,2025-06-25,37.1944260482,-122.3312336152,Bombus caliginosus,Fog-belt Bumble Bee,nate_chamb
302663900,2025-07-31,37.582441272,-122.4098661169,Bombus vosnesenskii,Yellow-faced Bumble Bee,dduggy3
302619753,2025-07-30,37.1717485488,-121.8734946509,Apis mellifera,Western Honey Bee,edwardrooks
302582681,2025-07-30,37.5373230621,-122.0667557864,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,truthseqr
302560301,2025-07-30,37.4295616667,-122.1055666667,Apis mellifera,Western Honey Bee,shanibirds
302535987,2025-07-30,37.4239332458,-121.9663741338,Apis mellifera,Western Honey Bee,joemdo
302487333,2025-07-30,37.9615222268,-122.2281704887,Apis mellifera,Western Honey Bee,tiwane
302487064,2025-07-03,38.5838721392,-122.6947233327,Hoplitis fulgida,Green Small-Mason,martinez45
302485341,2025-07-03,38.5842254868,-122.6998221144,Apis mellifera,Western Honey Bee,martinez45
302484876,2025-07-03,38.5842413391,-122.7002487843,Apis mellifera,Western Honey Bee,martinez45
302481675,2025-07-30,38.2516883333,-121.98272,Apis mellifera,Western Honey Bee,silveradojim
302462645,2025-07-30,38.248795,-122.2796033333,Apis mellifera,Western Honey Bee,silveradojim
302456738,2025-07-30,38.24533,-122.2842716667,Apis mellifera,Western Honey Bee,silveradojim
302453392,2025-07-30,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
302436744,2025-07-30,37.8274,-122.24688,Apis mellifera,Western Honey Bee,cblovesdoxies
302411075,2025-07-11,37.2231133333,-121.9850833333,Apis mellifera,Western Honey Bee,zelee
302368937,2024-06-07,37.8816184211,-121.9123779814,Hoplitis albifrons,White-fronted Small-Mason,ammoph11
302286151,2025-07-25,37.923725,-122.036675,Apis mellifera,Western Honey Bee,irinamitine
302265486,2025-07-29,38.578009045,-121.4588384923,Xylocopa sonorina,Valley Carpenter Bee,rmyoshihara
302240675,2025-07-29,37.73567,-122.48906,Apis mellifera,Western Honey Bee,jgrasser
302238197,2025-06-28,37.867625,-122.2931277778,Apis mellifera,Western Honey Bee,amandamackie
302237481,2025-07-28,37.7618116667,-122.2279283333,Halictus tripartitus,Tripartite Sweat Bee,hellabeenerd
302232193,2025-07-20,37.7528333333,-122.246745,Agapostemon subtilior,Fine striped sweat bee,hellabeenerd
302225206,2025-07-29,38.31385,-122.3173,Apis mellifera,Western Honey Bee,silveradojim
302223733,2025-07-29,38.251755,-121.98272,Apis mellifera,Western Honey Bee,silveradojim
302210350,2025-07-29,37.1603349,-121.8712895,Apis mellifera,Western Honey Bee,cxun88
302122329,2025-07-24,38.5267443889,-122.7452861111,Apis mellifera,Western Honey Bee,wildmare64
302119574,2025-07-24,38.5266277778,-122.7450861111,Apis mellifera,Western Honey Bee,wildmare64
302031423,2025-07-25,37.4248966667,-121.9547583333,Apis mellifera,Western Honey Bee,serenamyjer
302019617,2025-07-16,38.574929784,-122.7073909615,Apis mellifera,Western Honey Bee,martinez45
302010226,2025-07-28,38.578009045,-121.4588384923,Anthidium manicatum,European Woolcarder Bee,rmyoshihara
302009097,2025-07-28,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
301967696,2025-07-28,37.9110653945,-122.2984019704,Agapostemon subtilior,Fine striped sweat bee,buzzybumbler
301942690,2025-07-26,37.2643596997,-121.9097813,Apis mellifera,Western Honey Bee,kssqrd
301922927,2025-07-28,37.840675,-122.268775,Apis mellifera,Western Honey Bee,grozycki
301781376,2025-07-27,38.2516783333,-121.9824666667,Apis mellifera,Western Honey Bee,silveradojim
301747078,2025-07-27,37.4688116667,-122.3097616667,Bombus vosnesenskii,Yellow-faced Bumble Bee,mdhero
301742261,2025-07-25,37.424825,-121.954932,Apis mellifera,Western Honey Bee,azizakhoury
301732374,2025-07-27,37.3979589685,-121.9867439568,Agapostemon subtilior,Fine striped sweat bee,melbar2022
301722190,2025-07-27,38.5882973925,-121.4603383616,Bombus californicus,California Bumble Bee,snewtonscott
301721407,2025-07-26,37.4397239449,-121.9907434621,Bombus vosnesenskii,Yellow-faced Bumble Bee,melbar2022
301718312,2025-07-26,36.955973,-122.0601159722,Bombus vosnesenskii,Yellow-faced Bumble Bee,tech_turk
301717429,2025-07-27,37.8515295997,-121.8939196997,Bombus vosnesenskii,Yellow-faced Bumble Bee,gnarlyshields
301714422,2025-07-27,37.8518479722,-121.894289,Bombus vosnesenskii,Yellow-faced Bumble Bee,shanec97
301713546,2025-07-27,37.82007,-122.2465966667,Bombus vosnesenskii,Yellow-faced Bumble Bee,bugsrfriends
301712072,2025-07-26,38.0280433333,-122.9005216667,Apis mellifera,Western Honey Bee,steph_pics
301710462,2025-07-24,37.9633945512,-122.7863111347,Bombus vosnesenskii,Yellow-faced Bumble Bee,badasstronaut
301709312,2025-07-27,38.5468523718,-121.7795160073,Epimelissodes obliquus expurgatus,Western Oblique Longhorn,jandsluckenbill
301709135,2025-07-27,37.0199066667,-121.6927116667,Apis mellifera,Western Honey Bee,chris_nelson
301709073,2025-07-24,37.7798721,-122.2821855,Apis mellifera,Western Honey Bee,torj27
301681881,2025-07-22,37.5577059851,-122.083118409,Bombus californicus,California Bumble Bee,melbar2022
301680718,2025-07-22,37.5576639837,-122.0831988442,Bombus californicus,California Bumble Bee,melbar2022
301679858,2025-07-22,37.5576639837,-122.0831988442,Bombus californicus,California Bumble Bee,melbar2022
301679241,2025-07-22,37.5576639837,-122.0831988442,Bombus californicus,California Bumble Bee,melbar2022
301677632,2025-07-22,37.5576639837,-122.0831988442,Bombus californicus,California Bumble Bee,melbar2022
301675706,2025-07-27,37.9971494406,-122.4662410931,Apis mellifera,Western Honey Bee,adrianwang
301674877,2025-07-27,37.9972432257,-122.4662137521,Anthidium manicatum,European Woolcarder Bee,adrianwang
301670634,2025-07-27,37.5310961713,-122.1064078949,Apis mellifera,Western Honey Bee,truthseqr
301668372,2025-07-27,37.75898,-122.4637133333,Bombus vosnesenskii,Yellow-faced Bumble Bee,n3mitchell
301662859,2025-07-27,37.9972789354,-122.4663065941,Apis mellifera,Western Honey Bee,adrianwang
301659155,2025-07-27,37.9971800326,-122.4661226013,Anthidium manicatum,European Woolcarder Bee,adrianwang
301657903,2025-07-27,37.9971018423,-122.4660950568,Anthidium manicatum,European Woolcarder Bee,adrianwang
301652501,2025-07-27,37.3636124511,-122.1862161634,Apis mellifera,Western Honey Bee,audreyteo
301652141,2025-07-27,37.9970717475,-122.4660417071,Apis mellifera,Western Honey Bee,adrianwang
301647400,2025-07-27,37.7353083333,-122.157835,Halictus tripartitus,Tripartite Sweat Bee,buggyv
301642772,2025-07-27,37.7873333333,-122.4690166667,Apis mellifera,Western Honey Bee,brad_burch
301598138,2025-07-27,37.5769459177,-122.0044935739,Apis mellifera,Western Honey Bee,sglider
301456274,2025-07-26,37.9720059706,-122.2424318393,Bombus californicus,California Bumble Bee,ouzel
301456243,2025-07-26,37.9720059706,-122.2424318393,Apis mellifera,Western Honey Bee,ouzel
301405170,2025-07-26,37.2660945,-122.4035936,Apis mellifera,Western Honey Bee,tracyk2
301400175,2025-07-26,37.5829444053,-122.1738574934,Apis mellifera,Western Honey Bee,truthseqr
301384119,2025-07-26,37.7654182465,-121.9528154444,Apis mellifera,Western Honey Bee,robyninthewild
301370127,2025-07-26,37.2305833333,-121.7983633333,Apis mellifera,Western Honey Bee,fexcad
301363562,2025-07-26,38.4186819811,-122.8408432181,Apis mellifera,Western Honey Bee,trillium333
301362313,2025-07-26,38.4292826376,-122.8279224014,Apis mellifera,Western Honey Bee,trillium333
301305189,2025-07-26,37.0023583333,-122.0915971667,Apis mellifera,Western Honey Bee,wyattherp
301297393,2025-07-26,37.7697434268,-122.4333433463,Apis mellifera,Western Honey Bee,emmitloach
301295730,2025-07-26,38.251655,-121.9827716667,Apis mellifera,Western Honey Bee,silveradojim
301280835,2025-07-26,37.7914044735,-122.4102791771,Apis mellifera,Western Honey Bee,a_63261
301205861,2025-07-25,37.874925,-122.2871083333,Apis mellifera,Western Honey Bee,miorhartman
301120079,2025-07-24,36.9627479039,-122.0320633403,Apis mellifera,Western Honey Bee,yuki30014
301089553,2025-07-25,38.5960617065,-121.3476715088,Apis mellifera,Western Honey Bee,jensencm
301075698,2025-07-23,37.579262919,-121.9907424599,Apis mellifera,Western Honey Bee,madhavi11894
301069986,2025-07-25,38.251675,-121.9825666667,Apis mellifera,Western Honey Bee,silveradojim
